                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7811,                 55.536,                 1.0268,                0.00071,                   0.04,                0.00042,                0.00016,                 2.1751,                 5.7613,                0.89423,              2.856e-05,              2.856e-05,              2.856e-05
                      2,                 3.7497,                 55.917,                 1.0168,                0.00107,                   0.06,                0.00063,                0.00024,                 2.2519,                 5.7598,                0.89894,             6.4196e-05,             6.4196e-05,             6.4196e-05
                      3,                 3.8878,                 23.788,                 1.0364,                0.57484,                   0.09,                0.03438,                0.01147,                 2.6887,                 3.0523,                0.91083,             9.9762e-05,             9.9762e-05,             9.9762e-05
                      4,                 3.3505,                  8.413,                0.93895,                0.51028,                   0.02,                 0.0061,                0.00147,                 3.1837,                 7.7236,                0.94111,             0.00013526,             0.00013526,             0.00013526
                      5,                 3.3222,                 8.8437,                0.92728,                0.04922,                0.06226,                0.02985,                0.00705,                  2.922,                 3.9321,                0.91859,             0.00017068,             0.00017068,             0.00017068
                      6,                 3.2087,                  4.597,                 0.9152,                0.00138,                   0.11,                0.00199,                0.00065,                 2.1379,                 4.5165,                0.84902,             0.00020604,             0.00020604,             0.00020604
                      7,                 3.1533,                 4.5273,                 0.8479,                 0.0023,                   0.16,                0.00158,                0.00051,                 2.3028,                 29.211,                 0.8609,             0.00024132,             0.00024132,             0.00024132
                      8,                 3.1446,                 4.2796,                0.87574,                0.00096,                   0.07,                0.00077,                0.00022,                 2.5011,                 29.399,                0.88528,             0.00027653,             0.00027653,             0.00027653
                      9,                 3.4996,                 3.9616,                0.88515,                 0.0012,                   0.08,                0.00079,                0.00021,                 2.3285,                 5.9497,                0.87505,             0.00031167,             0.00031167,             0.00031167
                     10,                 3.0083,                 4.3283,                0.95493,                0.00355,                   0.23,                0.00341,                0.00127,                 2.2243,                 43.126,                 0.8788,             0.00034674,             0.00034674,             0.00034674
                     11,                 2.9777,                 2.6653,                0.87462,                0.00243,                   0.18,                0.00226,                0.00079,                 2.6664,                 116.73,                0.89032,             0.00038174,             0.00038174,             0.00038174
                     12,                 3.1903,                 2.4554,                0.88083,                0.55078,                   0.14,                0.02906,                0.01154,                 2.4615,                 6.6006,                0.87501,             0.00041667,             0.00041667,             0.00041667
                     13,                 2.8624,                 2.7153,                0.84314,                0.11085,                   0.22,                0.09436,                0.03645,                 2.1875,                 3.5582,                0.84953,             0.00045153,             0.00045153,             0.00045153
                     14,                 3.1339,                 2.4289,                0.88099,                0.69392,                   0.31,                0.20757,                 0.0688,                 2.2123,                 4.6361,                0.84609,             0.00048632,             0.00048632,             0.00048632
                     15,                 3.1928,                  2.637,                0.87552,                0.63619,                    0.1,                0.05782,                0.01501,                  2.571,                 5.2915,                 0.8719,             0.00052104,             0.00052104,             0.00052104
                     16,                 2.9863,                 2.4095,                0.87221,                0.58019,                    0.1,                0.02655,                0.00798,                 2.7132,                 3.2184,                0.89672,             0.00055568,             0.00055568,             0.00055568
                     17,                 3.0856,                 2.4831,                0.87211,                0.05263,                    0.1,                0.02455,                0.00575,                 3.0976,                 3.0458,                 0.9323,             0.00059026,             0.00059026,             0.00059026
                     18,                 2.8194,                 2.0115,                0.88188,                0.60502,                   0.03,                0.03281,                0.00894,                  2.819,                  3.144,                0.92539,             0.00062477,             0.00062477,             0.00062477
                     19,                 3.0955,                 2.4828,                0.87799,                0.03226,                   0.12,                0.03575,                0.00757,                 2.8559,                 3.6836,                0.93806,              0.0006592,              0.0006592,              0.0006592
                     20,                 2.9693,                 2.1649,                0.89829,                0.57191,                   0.21,                0.07656,                0.03137,                 2.1922,                 3.0575,                0.85547,             0.00069356,             0.00069356,             0.00069356
                     21,                 3.0625,                 2.1239,                0.83796,                0.72538,                   0.13,                0.13793,                0.05547,                 2.3904,                 2.2203,                0.85151,             0.00069986,             0.00069986,             0.00069986
                     22,                 2.9302,                 2.3923,                0.83107,                0.67863,                0.16122,                0.13898,                0.04901,                 2.9851,                 1.9584,                0.89489,             0.00069916,             0.00069916,             0.00069916
                     23,                  3.277,                 2.5256,                0.83856,                0.72287,                0.12065,                0.11987,                0.03293,                 3.1988,                 2.1601,                0.92422,             0.00069845,             0.00069845,             0.00069845
                     24,                 3.1134,                  2.026,                0.87633,                0.74003,                   0.24,                0.18694,                0.07407,                 2.3649,                 1.8636,                0.86521,             0.00069774,             0.00069774,             0.00069774
                     25,                 3.3729,                 2.6582,                0.87789,                0.78401,                   0.25,                0.22021,                0.09978,                 2.1324,                 1.7983,                 0.8473,             0.00069704,             0.00069704,             0.00069704
                     26,                 3.0099,                 1.8572,                0.89875,                0.78259,                   0.18,                0.19751,                0.07101,                 2.2448,                 2.0382,                0.85594,             0.00069633,             0.00069633,             0.00069633
                     27,                 3.0288,                  1.817,                0.87337,                0.65891,                0.17241,                0.13069,                0.04458,                 2.4448,                 2.1255,                0.86672,             0.00069562,             0.00069562,             0.00069562
                     28,                  2.975,                 2.0152,                0.87435,                0.63562,                   0.07,                0.06725,                0.02077,                 2.4277,                 2.8847,                0.86657,             0.00069491,             0.00069491,             0.00069491
                     29,                 3.0159,                 1.9118,                 0.8817,                0.61114,                   0.14,                0.08136,                0.03082,                 2.1769,                 2.5514,                 0.8468,             0.00069421,             0.00069421,             0.00069421
                     30,                 3.3007,                  1.925,                0.85366,                0.64278,                   0.11,                0.09716,                0.03871,                 2.0124,                 2.3595,                0.84197,              0.0006935,              0.0006935,              0.0006935
                     31,                 2.5896,                 1.6457,                0.85849,                0.63062,                   0.18,                0.12477,                0.05244,                 2.0158,                 2.2134,                0.83873,             0.00069279,             0.00069279,             0.00069279
                     32,                 2.8194,                 1.9083,                0.86451,                0.79654,                   0.19,                0.18785,                0.07963,                 1.9412,                 2.0464,                0.83464,             0.00069209,             0.00069209,             0.00069209
                     33,                 2.8356,                 1.8073,                0.85991,                0.86287,                   0.16,                0.19226,                0.08053,                 2.0318,                 2.1631,                0.84205,             0.00069138,             0.00069138,             0.00069138
                     34,                 2.8064,                 1.5601,                0.90618,                0.56461,                   0.15,                0.02969,                0.01197,                 2.0616,                 4.3075,                0.84364,             0.00069067,             0.00069067,             0.00069067
                     35,                 2.9308,                 1.6785,                0.86986,                0.51028,                   0.12,                0.00617,                0.00275,                 2.1313,                  16.01,                0.84439,             0.00068997,             0.00068997,             0.00068997
                     36,                 2.9984,                 1.7733,                0.84045,                0.51014,                   0.11,                0.00457,                0.00258,                 1.8194,                 12.831,                0.82379,             0.00068926,             0.00068926,             0.00068926
                     37,                  3.076,                 1.8066,                0.83498,                0.51103,                   0.08,                0.00373,                0.00176,                 2.0879,                 8.9063,                0.83729,             0.00068855,             0.00068855,             0.00068855
                     38,                 2.9087,                 1.9912,                0.82069,                0.68032,                   0.05,                0.03673,                0.02084,                 2.2051,                 7.9702,                0.84483,             0.00068785,             0.00068785,             0.00068785
                     39,                 2.9764,                 1.7507,                0.84479,                0.77935,                   0.05,                0.04826,                0.02241,                 2.1477,                 6.0137,                0.84337,             0.00068714,             0.00068714,             0.00068714
                     40,                 2.9213,                 1.6904,                 0.8251,                 0.7155,                0.19699,                0.15925,                0.07249,                 2.0139,                 2.4602,                0.83373,             0.00068643,             0.00068643,             0.00068643
                     41,                 3.2163,                 1.7429,                0.85254,                0.68111,                   0.21,                 0.1625,                0.06856,                 2.0343,                 2.3766,                0.83669,             0.00068573,             0.00068573,             0.00068573
