                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.435,                 8.0212,                 1.0548,                0.62743,                0.16942,                0.10386,                0.03888,                 1.4361,                 2.5232,                 1.2213,              0.0033263,              0.0033263,              0.0033263
                      2,                 1.6822,                 2.6736,                  1.229,                0.00202,                 0.3719,                0.01065,                0.00309,                 1.6889,                 2.3766,                 1.3943,              0.0066297,              0.0066297,              0.0066297
                      3,                 1.8839,                  2.711,                 1.4106,                0.50009,                0.07851,                  5e-05,                  1e-05,                 2.4316,                    inf,                 27.943,              0.0099031,              0.0099031,              0.0099031
                      4,                 1.9167,                 2.7489,                 1.4219,                0.00141,                0.39669,                0.00413,                0.00128,                 1.8309,                  2.411,                 1.4751,               0.009865,               0.009865,               0.009865
                      5,                 1.8758,                 2.5327,                 1.3424,                0.00172,                 0.3595,                0.01683,                0.00481,                 1.7342,                 2.3481,                 1.4344,                0.00982,                0.00982,                0.00982
                      6,                  1.892,                 2.5491,                 1.3852,                0.00108,                0.28512,                0.00295,                0.00098,                 1.6896,                  2.666,                 1.4393,               0.009775,               0.009775,               0.009775
                      7,                 1.7584,                 2.3824,                 1.2946,                0.00598,                0.27273,                0.00778,                0.00295,                 1.6333,                 2.4771,                  1.348,                0.00973,                0.00973,                0.00973
                      8,                 1.8481,                 2.4928,                 1.3691,                0.00242,                0.43388,                0.01887,                0.00597,                 1.5606,                 2.1423,                 1.3055,               0.009685,               0.009685,               0.009685
                      9,                 1.6404,                 2.3496,                 1.2022,                0.00156,                0.34711,                0.00289,                0.00102,                 1.6759,                 2.5886,                 1.3742,                0.00964,                0.00964,                0.00964
                     10,                  1.542,                 2.1802,                 1.1218,                0.00181,                0.44628,                0.01996,                0.00664,                 1.5486,                 2.2177,                 1.2909,               0.009595,               0.009595,               0.009595
                     11,                 1.6161,                 2.3659,                 1.2016,                0.03428,                0.05372,                0.02175,                0.00804,                 1.4551,                 2.2706,                 1.2308,                0.00955,                0.00955,                0.00955
